Table,Field Name,Field Type,Sample Value
"SessionAnalytics","endTime","dateTime","2025-01-27T10:30:00.000Z"
"SessionAnalytics","duration","number","900000"
"SessionAnalytics","promptCount","number","1"
"SessionAnalytics","productsUsed","multipleSelects","blogblitz"
"SessionAnalytics","primaryProduct","singleSelect","blogblitz"
"SessionAnalytics","trustScoreBefore","number","0.7"
"SessionAnalytics","trustScoreAfter","number","0.82"
"SessionAnalytics","trustDelta","number","0.12"
"SessionAnalytics","emotionalDepth","number","0.72"
"SessionAnalytics","overrideCount","number",""
"SessionAnalytics","timeToConfirmation","multilineText","8000"
"SessionAnalytics","dropOffSignal","singleSelect","FALSE"
"SessionAnalytics","cohort","multilineText","cohort_b"
"SessionAnalytics","status","singleSelect","active"
"SessionAnalytics","User","multipleRecordLinks",""
"SessionAnalytics","email (from User)","multipleLookupValues",""
"SessionAnalytics","timezone (from User)","multipleLookupValues",""
"SessionAnalytics","totalSessions (from User)","multipleLookupValues",""
"SessionAnalytics","trustScore (from User)","multipleLookupValues",""
"SessionAnalytics","engagementTrend (from User)","multipleLookupValues",""
"SessionAnalytics","PromptLogs","multipleRecordLinks",""
"SessionAnalytics","SparkSplitAnalytics","multipleRecordLinks",""
"SessionAnalytics","GoldmineOutput","multipleRecordLinks",""
"SessionAnalytics","EmotionalIntelligence","multipleRecordLinks",""
"SessionAnalytics","EmotionalIntelligence 2","singleLineText",""
"SessionAnalytics","TrustMetrics","multipleRecordLinks",""
"SessionAnalytics","PerformanceMetrics","multipleRecordLinks",""
"SessionAnalytics","WebhookLogs","multipleRecordLinks",""
"SessionAnalytics","ErrorLogs","multipleRecordLinks",""
"SessionAnalytics","ProcessingResults","multipleRecordLinks",""
"SessionAnalytics","Total Prompts","rollup",""
"SessionAnalytics","Average Trust Score","rollup","[object Object]"
"SessionAnalytics","Total Cost","rollup",""
"PromptLogs","id","singleLineText","pl_001"
"PromptLogs","sessionId","multilineText","sess_001"
"PromptLogs","timestamp","multilineText","2025-01-27T10:00:00Z"
"PromptLogs","userId","multilineText","user_001"
"PromptLogs","promptType","singleSelect","ad_amplify"
"PromptLogs","inputFields","multilineText","{\""industry\"":\""SaaS\"",\""goal\"":\""Series A "
"PromptLogs","output","multilineText","{\""plan\"":\""Comprehensive business plan...\""}"
"PromptLogs","tokensUsed","number","1200"
"PromptLogs","costUSD","currency","0.024"
"PromptLogs","trustScore","number","0.85"
"PromptLogs","resonanceScore","number","0.78"
"PromptLogs","smartPromptScore","number","0.82"
"PromptLogs","emotionalDepth","number","0.75"
"PromptLogs","aweScore","number","0.8"
"PromptLogs","ownershipScore","number","0.85"
"PromptLogs","wonderScore","number","0.75"
"PromptLogs","calmScore","number","0.88"
"PromptLogs","powerScore","number","0.82"
"PromptLogs","fallbackTriggered","multilineText","FALSE"
"PromptLogs","fallbackFields","multilineText",""
"PromptLogs","analyticsMeta","multilineText","{\""sessionMetrics\"":{\""duration\"":1800}}"
"PromptLogs","consentGiven","checkbox","true"
"PromptLogs","deletionRequested","multilineText","FALSE"
"PromptLogs","Session","multipleRecordLinks",""
"PromptLogs","userId (from Session)","multipleLookupValues",""
"PromptLogs","startTime (from Session)","multipleLookupValues",""
"PromptLogs","duration (from Session)","multipleLookupValues",""
"PromptLogs","status (from Session)","multipleLookupValues",""
"PromptLogs","UserContext","multipleRecordLinks",""
"PromptLogs","email (from UserContext)","multipleLookupValues",""
"PromptLogs","totalSessions (from UserContext)","multipleLookupValues",""
"PromptLogs","trustScore (from UserContext)","multipleLookupValues",""
"PromptLogs","engagementTrend (from UserContext)","multipleLookupValues",""
"PromptLogs","PromptTypes","multipleRecordLinks",""
"PromptLogs","displayName (from PromptTypes)","multipleLookupValues",""
"PromptLogs","category (from PromptTypes)","multipleLookupValues",""
"PromptLogs","complexity (from PromptTypes)","multipleLookupValues",""
"PromptLogs","fieldCount (from PromptTypes)","multipleLookupValues",""
"SparkSplitAnalytics","id","singleLineText","ssa_002"
"SparkSplitAnalytics","sessionId","multilineText","sess_006"
"SparkSplitAnalytics","timestamp","number","1706356800"
"SparkSplitAnalytics","promptType","singleSelect","blogblitz"
"SparkSplitAnalytics","comparisonId","multilineText","comp_002"
"SparkSplitAnalytics","trustDelta","number","0.08"
"SparkSplitAnalytics","userSelection","singleSelect","sterile"
"SparkSplitAnalytics","timeToSelection","number","32000"
"SparkSplitAnalytics","aweScore","number","0.82"
"SparkSplitAnalytics","ownershipScore","number","0.88"
"SparkSplitAnalytics","wonderScore","number","0.78"
"SparkSplitAnalytics","calmScore","number","0.85"
"SparkSplitAnalytics","powerScore","number","0.82"
"SparkSplitAnalytics","competitiveAdvantage","number","0.8"
"SparkSplitAnalytics","trustTransparencyScore","number","0.88"
"SparkSplitAnalytics","emotionalEducationScore","number","0.82"
"SparkSplitAnalytics","wouldRefer","checkbox","true"
"SparkSplitAnalytics","sharedOutput","checkbox",""
"SparkSplitAnalytics","circuitBreakerTriggered","multilineText","FALSE"
"SparkSplitAnalytics","testId","multilineText","test_002"
"SparkSplitAnalytics","variantType","singleSelect","sterile"
"SparkSplitAnalytics","conversionLift","percent","0.123"
"SparkSplitAnalytics","statisticalSignificance","number","0.89"
"SparkSplitAnalytics","marketingReady","checkbox","true"
"SparkSplitAnalytics","sterileOutput","multilineText","Standard business plan template..."
"SparkSplitAnalytics","enhancedOutput","multilineText","Emotionally resonant business vision with trust-bu"
"SparkSplitAnalytics","educationalMoment","checkbox","true"
"SparkSplitAnalytics","transparencyTrust","number","0.88"
"SparkSplitAnalytics","viralPotential","number","0.65"
"SparkSplitAnalytics","Session","multipleRecordLinks",""
"SparkSplitAnalytics","userId (from Session)","multipleLookupValues",""
"SparkSplitAnalytics","startTime (from Session)","multipleLookupValues",""
"SparkSplitAnalytics","duration (from Session)","multipleLookupValues",""
"SparkSplitAnalytics","status (from Session)","multipleLookupValues",""
"UserContext","id","multilineText","uc_005"
"UserContext","userId","multilineText","user_33333"
"UserContext","email","multilineText","david@fintech.com"
"UserContext","timezone","multilineText","Europe/London"
"UserContext","totalSessions","number","12"
"UserContext","preferredProducts","multipleSelects","blogblitz,spark_split"
"UserContext","preferredTone","multilineText","technical"
"UserContext","industryFocus","multipleSelects","finance,technology"
"UserContext","businessGoals","multilineText","innovation,competitive_advantage"
"UserContext","personalizationScore","number","0.79"
"UserContext","emotionalBaseline","multilineText","focused"
"UserContext","trustScore","number","0.87"
"UserContext","lifetimeValue","currency","3100"
"UserContext","churnRisk","number","0.18"
"UserContext","engagementTrend","singleSelect","stable"
"UserContext","preferences","multilineText","{\""tone\"": \""technical\"", \""depth\"": \""deta"
"UserContext","emotionalProfile","multilineText","{\""awe\"": 0.62, \""ownership\"": 0.88, \""wonder"
"UserContext","sparkResonance","multilineText","{\""spark_concepts\"": [\""fintech innovation\"", "
"UserContext","createdAt","dateTime","2025-01-24T11:15:00.000Z"
"UserContext","updatedAt","dateTime","2025-01-27T13:45:00.000Z"
"UserContext","SessionAnalytics","multipleRecordLinks",""
"UserContext","PromptLogs","multipleRecordLinks",""
"UserContext","GoldmineOutput","multipleRecordLinks",""
"UserContext","EmotionalIntelligence","multipleRecordLinks",""
"UserContext","TrustMetrics","multipleRecordLinks",""
"UserContext","Total Sessions Calculated","rollup",""
"UserContext","Average Session Duration","rollup","[object Object]"
"UserContext","Total Prompts Created","rollup",""
"UserContext","Average Trust Score Calculated","rollup","[object Object]"
"UserContext","Total Spend","rollup",""
"EmotionalIntelligence","id","multilineText","ei_003"
"EmotionalIntelligence","sessionId","multilineText","sess_003"
"EmotionalIntelligence","userId","singleSelect","user_11111"
"EmotionalIntelligence","promptType","singleSelect","profile_makeover"
"EmotionalIntelligence","emotionalState","multilineText","analytical"
"EmotionalIntelligence","aweScore","number","0.68"
"EmotionalIntelligence","ownershipScore","number","0.92"
"EmotionalIntelligence","wonderScore","number","0.55"
"EmotionalIntelligence","calmScore","number","0.88"
"EmotionalIntelligence","powerScore","number","0.85"
"EmotionalIntelligence","overallResonance","number","0.78"
"EmotionalIntelligence","trustScore","number","0.91"
"EmotionalIntelligence","confidenceScore","number","0.95"
"EmotionalIntelligence","timestamp","dateTime","2025-01-25T09:20:00.000Z"
"EmotionalIntelligence","createdAt","dateTime","2025-01-25T09:20:00.000Z"
"EmotionalIntelligence","Session","multipleRecordLinks",""
"EmotionalIntelligence","userId (from Session)","multipleLookupValues",""
"EmotionalIntelligence","duration (from Session)","multipleLookupValues",""
"EmotionalIntelligence","status (from Session)","multipleLookupValues",""
"EmotionalIntelligence","User","multipleRecordLinks",""
"EmotionalIntelligence","email (from User)","multipleLookupValues",""
"EmotionalIntelligence","timezone (from User)","multipleLookupValues",""
"EmotionalIntelligence","trustScore (from User)","multipleLookupValues",""
"TrustMetrics","id","multilineText","tm_004"
"TrustMetrics","sessionId","multilineText","sess_004"
"TrustMetrics","userId","singleSelect","user_22222"
"TrustMetrics","promptType","singleSelect","business_plan"
"TrustMetrics","trustScore","number","0.65"
"TrustMetrics","previousScore","number","0.68"
"TrustMetrics","trustDelta","number","-0.03"
"TrustMetrics","source","singleSelect","response_time"
"TrustMetrics","component","singleSelect","competence"
"TrustMetrics","reason","multilineText","Slower response time than expected"
"TrustMetrics","confidenceScore","number","0.71"
"TrustMetrics","timestamp","dateTime","2025-01-27T12:45:00.000Z"
"TrustMetrics","createdAt","dateTime","2025-01-27T12:45:00.000Z"
"TrustMetrics","Session","multipleRecordLinks",""
"TrustMetrics","userId (from Session)","multipleLookupValues",""
"TrustMetrics","duration (from Session)","multipleLookupValues",""
"TrustMetrics","status (from Session)","multipleLookupValues",""
"TrustMetrics","User","multipleRecordLinks",""
"TrustMetrics","email (from User)","multipleLookupValues",""
"TrustMetrics","trustScore (from User)","multipleLookupValues",""
"TrustMetrics","engagementTrend (from User)","multipleLookupValues",""
"PerformanceMetrics","id","multilineText","pm_006"
"PerformanceMetrics","sessionId","multilineText","sess_001"
"PerformanceMetrics","promptType","singleSelect","ad_amplify"
"PerformanceMetrics","apiCallId","multilineText","api_006"
"PerformanceMetrics","timestamp","dateTime","2025-01-27T10:45:00.000Z"
"PerformanceMetrics","responseTime","number","2650"
"PerformanceMetrics","tokensUsed","number","3180"
"PerformanceMetrics","cost","currency","0.0636"
"PerformanceMetrics","modelUsed","singleSelect","gpt-4o"
"PerformanceMetrics","success","checkbox","true"
"PerformanceMetrics","errorMessage","multilineText",""
"PerformanceMetrics","createdAt","dateTime","2025-01-27T10:45:00.000Z"
"PerformanceMetrics","Session","multipleRecordLinks",""
"PerformanceMetrics","userId (from Session)","multipleLookupValues",""
"PerformanceMetrics","duration (from Session)","multipleLookupValues",""
"PerformanceMetrics","status (from Session)","multipleLookupValues",""
"GoldmineOutput","recordId","multilineText","gm_003"
"GoldmineOutput","sessionId","multilineText","sess_003"
"GoldmineOutput","userId","multilineText","user_11111"
"GoldmineOutput","promptType","singleSelect","profile_makeover"
"GoldmineOutput","outputContent","multilineText","Evidence-based professional transformation strateg"
"GoldmineOutput","outputHash","multilineText","hash_pm_003"
"GoldmineOutput","resonanceScore","number","0.91"
"GoldmineOutput","trustScore","number","0.91"
"GoldmineOutput","industryCluster","multilineText","healthcare"
"GoldmineOutput","intentSummary","multilineText","Professional transformation"
"GoldmineOutput","sparkConcept","multilineText","Evidence-based improvement"
"GoldmineOutput","reuseCategory","multilineText","template"
"GoldmineOutput","reusePotential","number","0.95"
"GoldmineOutput","compoundValue","number","0.9"
"GoldmineOutput","emotionalTone","multilineText","authoritative"
"GoldmineOutput","emotionalEnergy","multilineText","medium"
"GoldmineOutput","emotionalStyle","multilineText","systematic"
"GoldmineOutput","emotionalVocabulary","multilineText","clinical"
"GoldmineOutput","createdAt","dateTime","2025-01-25T09:20:00.000Z"
"GoldmineOutput","id","singleLineText","go_003"
"GoldmineOutput","Session","multipleRecordLinks",""
"GoldmineOutput","userId (from Session)","multipleLookupValues",""
"GoldmineOutput","duration (from Session)","multipleLookupValues",""
"GoldmineOutput","status (from Session)","multipleLookupValues",""
"GoldmineOutput","User","multipleRecordLinks",""
"GoldmineOutput","email (from User)","multipleLookupValues",""
"GoldmineOutput","industryFocus (from User)","multipleLookupValues",""
"GoldmineOutput","trustScore (from User)","multipleLookupValues",""
"GoldmineOutput","engagementTrend (from User)","multipleLookupValues",""
"SystemHealth","id","multilineText","sh_003"
"SystemHealth","component","multilineText","database"
"SystemHealth","healthStatus","singleSelect","healthy"
"SystemHealth","responseTime","number","45"
"SystemHealth","errorRate","number",""
"SystemHealth","throughput","number","1200"
"SystemHealth","lastCheck","dateTime","2025-01-27T16:00:00.000Z"
"SystemHealth","alertTriggered","checkbox",""
"SystemHealth","createdAt","dateTime","2025-01-27T16:00:00.000Z"
"SystemHealth","Component Config","multipleRecordLinks",""
"SystemHealth","configValue (from Component Config)","multipleLookupValues",""
"SystemHealth","category (from Component Config)","multipleLookupValues",""
"SystemHealth","isActive (from Component Config)","multipleLookupValues",""
"ErrorLogs","id","multilineText","el_003"
"ErrorLogs","sessionId","multilineText","sess_009"
"ErrorLogs","promptType","singleSelect","profile_makeover"
"ErrorLogs","errorType","multilineText","timeout_error"
"ErrorLogs","errorMessage","multilineText","AI service timeout after 30 seconds"
"ErrorLogs","stackTrace","multilineText","TimeoutError at api/services/ai.ts:78"
"ErrorLogs","severity","singleSelect","high"
"ErrorLogs","resolved","checkbox",""
"ErrorLogs","timestamp","dateTime","2025-01-27T15:10:00.000Z"
"ErrorLogs","createdAt","dateTime","2025-01-27T15:10:00.000Z"
"ErrorLogs","Session","multipleRecordLinks",""
"ErrorLogs","userId (from Session)","multipleLookupValues",""
"ErrorLogs","duration (from Session)","multipleLookupValues",""
"ErrorLogs","status (from Session)","multipleLookupValues",""
"ProcessingResults","id","multilineText","pr_007"
"ProcessingResults","sessionId","singleSelect","sess_005"
"ProcessingResults","promptType","singleSelect","business_plan"
"ProcessingResults","processingStage","singleSelect","quality_check"
"ProcessingResults","status","singleSelect","pending"
"ProcessingResults","startTime","dateTime","2025-01-24T11:28:00.000Z"
"ProcessingResults","endTime","dateTime","2025-01-24T11:28:30.000Z"
"ProcessingResults","duration","number","30000"
"ProcessingResults","resultData","multilineText","{""quality_score"": 0.87, ""trust_delta"": 0.3}"
"ProcessingResults","errorMessage","dateTime","2025-01-24T11:28:30.000Z"
"ProcessingResults","createdAt","multilineText",""
"ProcessingResults","Session","multipleRecordLinks",""
"ProcessingResults","userId (from Session)","multipleLookupValues",""
"ProcessingResults","duration (from Session)","multipleLookupValues",""
"ProcessingResults","status (from Session)","multipleLookupValues",""
"AirtableSync","id","multilineText","as_007"
"AirtableSync","sourceTable","multilineText","PerformanceMetrics"
"AirtableSync","recordId","multilineText","pm_001"
"AirtableSync","syncStatus","singleSelect","pending"
"AirtableSync","lastSyncAttempt","dateTime","2025-01-27T10:16:45.000Z"
"AirtableSync","syncDuration","number","680"
"AirtableSync","errorMessage","multilineText",""
"AirtableSync","retryCount","number",""
"AirtableSync","createdAt","dateTime","2025-01-27T10:16:30.000Z"
"AirtableSync","updatedAt","dateTime","2025-01-27T10:16:45.000Z"
"AirtableSync","Source Table Ref","multipleRecordLinks",""
"AirtableSync","configValue (from Source Table Ref)","multipleLookupValues",""
"AirtableSync","category (from Source Table Ref)","multipleLookupValues",""
"AirtableSync","isActive (from Source Table Ref)","multipleLookupValues",""
"WebhookLogs","id","multilineText","wl_003"
"WebhookLogs","sessionId","multilineText","sess_003"
"WebhookLogs","promptType","singleSelect","profile_makeover"
"WebhookLogs","webhookType","multilineText","airtable_sync"
"WebhookLogs","payload","multilineText","{""table"": ""PromptLogs"", ""record_id"": ""pl_00"
"WebhookLogs","deliveryStatus","singleSelect","success"
"WebhookLogs","responseCode","number","201"
"WebhookLogs","responseTime","number","1200"
"WebhookLogs","retryCount","number",""
"WebhookLogs","timestamp","dateTime","2025-01-25T09:20:00.000Z"
"WebhookLogs","errorMessage","multilineText",""
"WebhookLogs","createdAt","dateTime","2025-01-25T09:20:00.000Z"
"WebhookLogs","Session","multipleRecordLinks",""
"WebhookLogs","userId (from Session)","multipleLookupValues",""
"WebhookLogs","duration (from Session)","multipleLookupValues",""
"WebhookLogs","status (from Session)","multipleLookupValues",""
